9554   65 SOUTHERN KERGUELEN                                                    
 515  110.0 -999.0 PB   1 854   7  1204
 -63.8294   83.3718 3
 -57.7376   73.5806 3
 -57.7554   73.5818 2
 -57.7732   73.5909 2
 -57.7824   73.5909 2
 -57.7903   73.5921 2
 -57.7995   73.5875 2
 -57.8173   73.5818 2
 -57.8265   73.5577 2
 -57.8424   73.5313 2
 -57.8656   73.4865 2
 -57.8748   73.4750 2
 -57.8833   73.4670 2
 -57.8986   73.4383 2
 -57.9133   73.4257 2
 -57.9267   73.4096 2
 -57.9444   73.3970 2
 -57.9585   73.3546 2
 -57.9792   73.3041 2
 -57.9987   73.2628 2
 -58.0023   73.2513 2
 -58.0316   73.1882 2
 -58.0559   73.1274 2
 -58.0711   73.0975 2
 -58.0784   73.0872 2
 -58.0978   73.0608 2
 -58.1185   73.0379 2
 -58.1361   72.9943 2
 -58.1592   72.9564 2
 -58.1792   72.9243 2
 -58.1877   72.9071 2
 -58.2119   72.8933 2
 -58.2337   72.8749 2
 -58.2391   72.8634 2
 -58.2548   72.8507 2
 -58.2917   72.8462 2
 -58.3346   72.8416 2
 -58.3636   72.8484 2
 -58.3733   73.0126 2
 -58.3509   73.0563 2
 -58.3244   73.0976 2
 -58.3014   73.1274 2
 -58.2923   73.1458 2
 -58.2905   73.1470 2
 -58.2694   73.1975 2
 -58.2512   73.2572 2
 -58.2191   73.3031 2
 -58.1924   73.3582 2
 -58.1712   73.3927 2
 -58.1421   73.4374 2
 -58.1269   73.4868 2
 -58.1233   73.5178 2
 -58.1233   73.5178 2
 -58.1445   73.5339 2
 -58.1821   73.5339 2
 -58.2082   73.5304 2
 -58.2524   73.5144 2
 -58.2839   73.5052 2
 -58.3141   73.4856 2
 -58.3244   73.4799 2
 -58.3624   73.4615 2
 -58.4004   73.4397 2
 -58.4347   73.4202 2
 -58.4672   73.3972 2
 -58.4979   73.3789 2
 -58.5297   73.3513 2
 -58.5645   73.3375 2
 -58.5969   73.3180 2
 -58.6141   73.2983 2
 -58.6602   73.2593 2
 -58.6990   73.2410 2
 -58.7283   73.2134 2
 -58.7700   73.1813 2
 -58.7927   73.1629 2
 -58.7998   73.1572 2
 -58.8207   73.1400 2
 -58.8623   73.1147 2
 -58.8878   73.0929 2
 -58.8985   73.0883 2
 -58.9175   73.0792 2
 -58.9442   73.0677 2
 -58.9792   73.0470 2
 -58.9964   73.0333 2
 -59.0408   73.0023 2
 -59.0703   72.9782 2
 -59.1034   72.9484 2
 -59.1311   72.9277 2
 -59.1618   72.8990 2
 -59.1824   72.8841 2
 -59.2106   72.8612 2
 -59.2477   72.8336 2
 -59.2741   72.8118 2
 -59.3023   72.7866 2
 -59.3428   72.7510 2
 -59.3615   72.7372 2
 -59.3820   72.7292 2
 -59.4195   72.7097 2
 -59.4528   72.6948 2
 -59.4645   72.6867 2
 -59.4972   72.6512 2
 -59.5374   72.6053 2
 -59.5654   72.5548 2
 -59.5886   72.5020 2
 -59.6119   72.4618 2
 -59.6323   72.4091 2
 -59.6532   72.3287 2
 -59.6700   72.2668 2
 -59.6834   72.2094 2
 -59.7002   72.1360 2
 -59.7309   72.0843 2
 -59.7691   72.0384 2
 -59.8090   72.0109 2
 -59.8512   71.9925 2
 -59.9014   71.9914 2
 -59.9492   71.9971 2
 -60.0257   72.0522 2
 -60.0612   72.0706 2
 -60.0819   72.0958 2
 -60.1111   72.1153 2
 -60.1649   72.1555 2
 -60.2060   72.1945 2
 -60.2197   72.2140 2
 -60.2249   72.2151 2
 -60.2762   72.2484 2
 -60.3275   72.3219 2
 -60.3945   72.3792 2
 -60.4354   72.4205 2
 -60.4637   72.4504 2
 -60.5022   72.4894 2
 -60.5407   72.5227 2
 -60.5667   72.5513 2
 -60.6006   72.5892 2
 -60.6321   72.6317 2
 -60.6693   72.6638 2
 -60.7087   72.6971 2
 -60.7419   72.7292 2
 -60.7677   72.7476 2
 -60.8070   72.7946 2
 -60.8742   72.8738 2
 -60.9334   72.9266 2
 -60.9708   72.9816 2
 -61.0243   73.0562 2
 -61.0699   73.1354 2
 -61.1105   73.2169 2
 -61.1316   73.2915 2
 -61.1438   73.3442 2
 -61.1454   73.3924 2
 -61.1532   73.4555 2
 -61.1654   73.5106 2
 -61.1637   73.6391 2
 -61.1604   73.7103 2
 -61.1593   73.7481 2
 -61.1526   73.8135 2
 -61.1443   73.8686 2
 -61.1327   73.9455 2
 -61.1249   74.0270 2
 -61.1171   74.0797 2
 -61.1127   74.1589 2
 -61.1144   74.2243 2
 -61.1221   74.2978 2
 -61.1510   74.4297 2
 -61.1721   74.4905 2
 -61.1876   74.5341 2
 -61.1925   74.5961 2
 -61.2042   74.6615 2
 -61.2213   74.7843 2
 -61.2285   74.8692 2
 -61.2407   74.9564 2
 -61.2495   75.0585 2
 -61.2479   75.0998 2
 -61.2434   75.1801 2
 -61.2462   75.2582 2
 -61.2562   75.3190 2
 -61.2633   75.3752 2
 -61.2755   75.4877 2
 -61.2777   75.5381 2
 -61.2821   75.6196 2
 -61.2821   75.6586 2
 -61.2777   75.7711 2
 -61.2628   75.8939 2
 -61.2562   75.9340 2
 -61.2517   75.9765 2
 -61.2418   76.0614 2
 -61.2263   76.1325 2
 -61.2047   76.2106 2
 -61.1826   76.2978 2
 -61.1648   76.3884 2
 -61.1510   76.4630 2
 -61.1382   76.5341 2
 -61.1238   76.6133 2
 -61.1160   76.6890 2
 -61.1171   76.7372 2
 -61.1249   76.7705 2
 -61.1343   76.8107 2
 -61.1587   76.8657 2
 -61.1870   76.9025 2
 -61.1986   76.9151 2
 -61.2219   76.9289 2
 -61.2573   76.9552 2
 -61.2910   76.9771 2
 -61.3230   76.9897 2
 -61.3527   77.0023 2
 -61.3995   77.0218 2
 -61.4512   77.0287 2
 -61.5022   77.0424 2
 -61.5296   77.0528 2
 -61.5559   77.0608 2
 -61.5789   77.0688 2
 -61.6144   77.0872 2
 -61.6418   77.0918 2
 -61.6581   77.0964 2
 -61.6854   77.1010 2
 -61.7023   77.1056 2
 -61.7404   77.0998 2
 -61.7893   77.1056 2
 -61.8170   77.1090 2
 -61.8398   77.1285 2
 -61.8783   77.1801 2
 -61.8821   77.1905 2
 -61.8924   77.2100 2
 -61.9021   77.2306 2
 -61.9259   77.2972 2
 -61.9357   77.3580 2
 -61.9475   77.4429 2
 -61.9643   77.5554 2
 -61.9837   77.6403 2
 -61.9999   77.7378 2
 -62.0123   77.8445 2
 -62.0274   77.9570 2
 -62.0431   78.0384 2
 -62.0522   78.1153 2
 -62.0662   78.1715 2
 -62.0877   78.2438 2
